text,label
yıl tıp okumak kadar gayret sarf et ben değip yıl üzül yas tıp öğrenci bir delikanlı kanser son evre olduk duyu kendi utan hayat makam önemli şey mesela sağlık,0
kendi kandır hep ben yan yüzde kadar orospuluk fitne fesatlık var yapıp hak ver,1
sen bak ne yazdık desteklemedik bile karşı,0
haber ilk kaynak paylaş bugün yaşadık mutluluk mimar genel başkan kadar gurur duy azdır,0
yengeç şey alın san alınca sen alınca,0
memleket milyon milyon milyon bun milyon,1
aynı şey sen söyleyemeyebil,0
bahçeli sen görüş de seçim değil beka mesele de bak akp yap iyi parti ittifak zillet de şimdi akp olan ittifak diyecek,0
küçük şey zevk al bir gün geri baktık onlar büyük şey olduk fark edebil,0
elim patates alınca öykü fırın patates tarif aldık gece canlan aklımda kendi kendi gül başla yine güzel anıl var,0
kendi beraber kulüp imza olan bildirge hatırlat hakem insan hata yapabil,0
bakan açıklanalı ay oldu süre yasa yapılma artık mayıs yasa,0
ey insan siz bir tek nefis yaratan on eş var ede iki bir erkek kadın üreten korku,0
avrupa standart çalışmak maaş almak finlandiya model oy kullanmak iste,0
futbol tarihı kadar ahmak bir tercih aynı zaman kadar büyük bir meydan oku şahit olmamış,0
başlangıç iyi oldu umar devam gelir,0
bir kahve alay tuzsuz ol,0
ön kocaman bir böcek gör yerim,0
evet siyaseten ekilme yasak olan tarla arası güzel dalgalan,0
niyet suistimal doğrula hayat olumsuz şey düzelt ön kendi başlayın,0
sinirlendik zaman aç kedi video izli yok böyle bir terapi vallahi,0
allah birgün can öyle al ölecek hisset tıpkı şua hayat olup yaşadık hissetmedik,0
sen dedik otobüs dolusu suriye yarı suriyeli kardeş medya gördük şey inan bende sana tavsiye,0
hak iade et olmaz prim süre kısım kısım durum suriye kötü,1
bunlar giden kadar yine umutlu ol emin değil rey kaybedecek seçim gir minare çakmadan kılıf hazırla haziran minare çalacak,1
aynı fikir değil yüce gönüllülük aç kapı açıldık sonra gün ayrı bir linç haber insan düşman olmayan bir el parmak kadar insan varlık çizim engel ol,0
kendi yıl isotçu ilan et ay kaçıncı torba isot çıkarış say,0
amına koduğumun çinli ülke yaydır virüs orospu çocuk yüzünden öl,1
yaşanma gereken yazıl vakit zaman ben elim geleni yap geri kalan takdir,0
şarkı arası cırcır böcek ses katmak amaç düşün çiftleşmek götünü yırttık bir yaprak üstün gelip mikrofon tut sana saldırı aracı yok kalkıp bun bela sikeyim desen de cırcır böcek dayanış ben,1
saat içinde bardak kırmak gerçekten büyük başarı,0
amına koduğumun yerinde kimse iyi ol çalış niyetli ol ince düşün anlayışlı ol gidi direkt dümdüz sikin anca öyle yaran,1
kolay girip ahkam kes de ortalama konuş hayat,0
ermen pkk üst yönetici yönetici namus şeref var gariban kürt kardeş dağ zor kendi kız götürü gerçekten dava samimi olduk göreli,1
sade arap takım oluşan bir kupon yap hayır burada gör sikerler böyle kardeşlik,1
kendi kendi sürpriz yapmak üst tanı,0
haklı hoca sen boşalmama lazım sen tedavi edip kısırlaştır,1
telif hak,0
milli piyango bilet fatih sultan mehmet han barbaros hayret paşa mevlana yunus emir alçak sancaktarlık yap dalga geçmiş yıl,1
bensiz mutlu,0
ruh ad ol allah siz sabır ver,0
ayşegül demek zaman var,0
üç yıl bütün ses sen yarım kal ses üç yıl yüz dünya tek fotoğraf üç yıl sen yapıl bir kapı,0
ev gidi ayna bakıp ben bütün gün tip mi gez demeyen bil,0
evet uçuk krem kullanmak zorun olmaz hoca,0
bey söyle dedik hal ısrar söyle de devam et video söylemedik açık ortada fatih bey kadar emin ispat yolun git güven sarsıcı bir durum,0
yeni yemek program sansürlü izle gerçekten diyecek söz yok,0
bir millet düşün beri savaşan ülke işgal edil var yoğun ortay koyup kadın yaşlı savaşıp ülke kazan türk bir millet düşün ülke bomba atıl ana bacı orada bırakıp i̇stanbul kaç suriyeli,1
hangi taban hangi gazete tekabül et anlam kullan belli mütekabiliyet terim anlam dış şekil kullanılabil emin değil,0
kaça sat kardeş parti kaç feda et koca çınar parti genel merkez mi almak yoksa,1
bey mağdur ses duyur kamu kurum kuruluş personel alım yaş sınır kaldırılma iste sınav gir aranmayan yaş şart atama aran liyakat iste oy yok,0
teşekkür eder,0
asıl konu kaçır konu belediye başkanlık seçim yaptık meclis referandum seçim yap anayasa sistem gel akp kurum yandaş doldur geçmiş alan gerçekten üsküdar geç,0
bir ada ülke insan rastla milyar bir,0
bir yan taşşak yala taşşak yaladık dil aynı ant türkçü uzatan gerçek profil resmı gerçek isim dolayısıyla karakter kullanmayan şarlatan kabul et,1
muradiye mimar sinan şehir sırp kutla günü,1
dış gül bahçe görünür iç cam kırık kimse anla,0
sen söyle çerez kapak neyse ben es olunca görece on,1
sen ben yen ben sen oyna,0
psikopat olduk yeni mi anlı ablacı,0
sevilmeme seç sade sev,0
kal başla iste ben emir kul bana yap de yapmak zorun kal bun duy,0
kız erkek göt yalayan erkek aradık süreç istedik şey yarım kalacak,1
bu astım nezle karış bir hastalık insan eliyle laboratuvar ortam üretip virüs yap dünya yönetip soya yahudi hırsız cani dünya yönetim kaybetmemek puştluk sergiledik terör savaş kanlı kirli iş çevirdik göre,1
ankara arası hat dimi,0
dışişleri bakan venezuela demokrasi getirecek açıkla ırak getirdik demokrasi ye taşıyıp venezuela yönetim ırak getir komşu olarak rahat,1
kanı bozuk kansız artık rum bozuntu kavgalı kavgalı ede başkan,1
başkan beraber yürüdük yol gücü güç katmak iste ön ata görev baş olmak iste birlikte üret iste,0
amına koduğumun site kimse kendi zor takip çıkın takip tatava yap,1
yaz ayın grip olmak nefret et,0
kişilik arkadaş grup olan teyze yanım düş yanım kadın ağla diğeri gel kızım yer değiştir soru yanım kadın çocuk rahat boz de falan kriz ortam düş,0
tamam insan gün bekleyebil taman taha çin izli destek çık ancak ben zor git,0
sene çek be fener ancak kadar olur yine sen insaflı fener hali olacak on abi,0
yerim var ders,0
sen gazete piyasa süre sen okuyan,1
ben hala tanı galiba,0
memleket biz olan biz görünen kalbı gavur çarpan vatan hain var bunlar kendi gizle taraftar bula yüz yıl öyle asimile ol neredeyse yarı yakınım gavur gavur dost oldu,1
kimse değil sevdik tarafından sevilmemek,0
akşam rakı iç al,0
insan kutsadık önder belledik papağanlık ettik kuyruk olduk yaptık herif bile cehalet saç safsata yap saçmalı çömez mürit var düşün budala herif mi yuna mitoloji oku,1
defa aynı insan yenik düşmek kolay san,0
cumartesi sabahları lima durak gelen kız koltuk kap gelince kibariye dönüş,0
sevmedik kız yap özellik kahve isteyen,0
koskoca böyle zevksizlik gör,1
yakış keşke kendi taraftar olduk forma çık idi,0
medel oyna iler olur kanat belli olmaz hoca isterse,0
bul işte sen var profil bakınca belli ol bir ince dedik var şifre tayfa,1
gece gece millet rahatsız ol araba alarm öttüren piç sen amk,0
oy ben kıy yazık kız ya,0
tatil bok bir okul gün yaptık söyle vay,0
insan olan nefret özlem aynı son nefes bile,0
bakış sıradan insan farksız kötü karakter yükledik insan sıradan insan farksız olduk anladık geri hiçbir bırakmadan yok et his hayat,0
bey genel kısa galiba uzun boylu kız savunan yok,0
destek dua,0
yağ yağmur çak şimşek mi can,0
allah boş adam meşgul et bile son kendi takım yanında bile geçemedik final utanıp susacak yer şampiyonluk kutlama yapan salak bir topluluk,1
siyah tam inandırıcı ol hali inandırıcı hazırlanabil bel altı çalış lütfen,0
ben i̇rem sevmeme rağmen bile bunlar yaz hangi cesaret anlam,0
bunlar film izlemek,0
uyan ağlamamak neden yok,0
sus geri zekalı bana kız,1
hayat özlem çektik anıl yaşa iyi var,0
son ara ver hatırlı yazık oldu cidden bana bile indirt tekrarlı platform genel olarak kadar sorunlu olduk gerçek değiştir konu alakalı muazzam bir video var hatta bakabil,0
bakan albayrak yeni açıkla sınır bende bil,0
,1
zaten fikrı zikir ol ateist bir zavallı haliyle kendi yol olan fikrı sapık destekle olur yürümek yol aşınmaz biz böyle yoğurt böyle yer sırp bozma anla,1
kalitesiz dondurma yer anlamsız gezme gördük sonra kıyafet sarılıp yat karar verdi gece,0
şimdi ne yaşadık hangi tutsaklık gece hangi bağımsızlık yarım sabah,0
kahramanmaraş ben bihter yas merkez kendi ev tek gizlilik içinde görüşmek bey arası sınırsız seksi zirve olmak ara kahramanmaraş zirve,0
dedik anlamak sıkıntı yok uygulamak var name dikkat çek uzay tek canlı biz dünya uzay küçük adeta mikroskop görül ebat dünya çevreleyen atmosfer uzay uç dünya koru dünya kendi güneş etraf dönerek,0
hayat burada sonlandırmak iste allah an,0
muazzam zarif hoş bir kadın,0
pkk terör örgüt pkk dinsiz pkk i̇slam düşman pkk topluluk pkk vatan hain yer pkk ermen tır pkk kürt değil,1
ülke gerçek erdoğan sayesinde yalandan düşman görünüp insan birbiri düşüren ingil hain kardeş kanı beslenen maske düşür sisli hava dağıl dost düşman belli oldu temizleyin düşman,1
haram oldu gençlik bak talan oldu ah sev yalan,0
al işte kız bak oğlan bak,0
ah tatlı prenses böyle,0
millet tarih gördük son ay lütfen bun kaldır,0
arzu merhaba ben i̇zmit,0
para kazan yol şaşır ol türlü evlilik program türlü oyun fırlayıp ülke düşünmeden kolay bir şekil adaylık koyabil biz bakkal nuri abi aday çıkart sağlam gelecek inşa edil,0
yarın sapan yap bak,0
üzüntülü bir ağla de gül,0
kendi dost müttefik bulmak çalmadık kapı bırak fakat bir kapı yüzün açıl açılan bir kapı edil kapı yahudi kapı kuşkusuz nedensiz değil düşman çıkar ortak,0
bugün siz sarası var pozisyon al,0
olan olmuş yapan yapacak yap onlar artık hesap allah ver şua sistem geçmiş yapılan yanlış düzelt çalışmamakda yaptık yanlış onaylamak kocaman cami yaparak müslüman san kendi dün faiz düşür,0
vatan hainlik zaman aşım olmaz dokunulmazlık asla olmaz,0
uyan amk arayan ön geçmiş ol diyecek ana avrat söv ölme mi iste ne anla,1
net bir milyon dolar siz ol veri,0
içsel sıkıntı sokan kara bulutlu hava karanlık ayı sevili,0
biz siz iyi kimse anla anlam ver boşvermişlik şikayetçi haklı konum iftiracı var vebal öde,1
arkadaş sezon baş hoca ferdı iste çalış diye arkadaş dimi,0
tek çift saatlik anal yok kondom şart merkez yerim var iyi ben ara denizli,1
bir kalbı sevme bekle bekleme,0
el ekmek rahat koltuk olacak iyi bilir,1
allah sefer hoşlandık kişi başlamadan bit üzül,0
ses duy,0
eder güzel bakan güzel gör,0
abi sosyal yardım etkinlik destek olan ünlü sanatçı stadyum konser ayarlan gelir kulübe kal gayet güzel olur şekil bir plan,0
olmayan sevgili hiçbir değil vadi zambak,0
gel atv izli,0
sen var,0
bir aşağı alıra onsuz i̇di on el götün soxum,1
erzurum ara işte çıkarıl vakit bol yaz işte sen bana bakıp uykusuz kal uyu istersen,0
aile biri telefon göster telefon uçak almak,0
ten yan he branş say zaten avrupa lig mi yoksa bunlar,0
dünkü olay sonra herhangi bir bahane kabul edil ülke savunma toplanıp gönderil göt var artık onlat problem,1
uğur demirok penaltı kullanmama gerektik top vurma eleştirdik burak yılmaz sos var duran topu kullanmama gerektik söylemek gerek,0
çay kitap eylül mavi deniz sev adaletsiz eşit derece uzak dur artık,0
allah olur ol gerizekalı bile ol hatta deli ol namuslu temiz ol,1
dram sevgili ol zaman sen kanka dram,0
operasyon çocuk gavur sıpa içer dışarı ülke saldıran itler,1
avcı hayırlı ol başarı dolu sezon yaşar yaşa,0
hayır zaten divan edebiyat çeviri kitap bir cümlesi iki oku aklı gel şimdi yarım saat aynı paragraf,0
kafa siz oraya götüren özgüven yaşa eziklik,0
izleyen kaç kaliteli dizi izleyici şimdi,0
bar endeks itibaren eksik butu değer ortalama alıp bir son barın değer ilk çizgi kes al bir sistem ilk olarak aklı gelen,0
hala arap götü kolladık asla inan yahu sen büyük metropol insan kaçacak can kurtar bir yer yok yer imar aç yap hala güvenli bölge amerika biz oyala diyebil pes deprem,1
değil olmaz,0
gençlik yıl hakemlik yap olan bir müdür gizli başkan serdar çakır cüneyt hakemlik beş para et baba lobi sağlam ad sanı ortada olmaz dert aziz yıldırım kere dillendir bun sonra kapan git konu,0
ben sana kız ara sıra uğra bana bir gün ön aynı şey söylemek gerek bir başka güzel ol,0
bok yediğ hakkında bir fikrı yok,1
fava len şopar gir,0
kafa dinli kalbı temiz mesaj bekli,0
hiçbir gel san içim öl,0
savcı kahpe yaka ön suriyeli rol oyna sonra suriyeli nefretçi türk rol böyle kandır,1
umar birgün bana denk gelir gavur tohum,1
amerika yaşıyan olarak yer türkiye zannetme bırakma öner üniversite devlet hastane acil zaten fiyat hasta belgesel bir belgesel var tavsiye eder,0
ulan ak partili sen tayfa kadar cehennem yanmak tutuşan gör,1
tutku aşk yad bir miktar sevda,0
işte bana bunlar gel abici teşekkür et hemen,0
vicdan değil akıl eyyam değil adalet,0
amk bizimki hala sol bek çıkartıp sol bek al sokayım hocalık sen,1
artık sever dün gel tat,0
kadın mal göre şiddet hak bilen erkek gücün kadın tahakküm ölçen zihniyet değişmedikçe eğitim adalet sistem değiştirilmedikçe kadın öl,0
tecavüz olur taciz olur sorun olmaz yılbaşı kutlanıl burası i̇slam ülke rezalet den küfür,1
ben köşe ölüm uyku bari,0
kol bacak kes bur al bura destek ol zarar zaten çık de bura ye ekstre at,0
üstün reçel bugün geç,0
kanat kutu onlar rüya kanatsız uçan günaydın,0
millet sikik sikik fotoğraf görünce cidden kendi fotoğraf kaliteli bula,1
öl kal aşkın bin kere gönder git ben hiçbir yer,0
kerem yan asıl sen aslı güzel,0
mutlaka herkes bir fikir söyle ben abaza dolu burası on fazla söz gerek yok konuşulan güzel olmayabil seviyesizce allah bağış,1
lan siktir git amına kodumun milliyetsiz piçi sen ön siktir ged türk konuşma bırak burası türk cumhuriyet,1
allah biz böyle diyet nasip et,0
yorul uyku uyan yet bun anla,0
deniz baykal milletvekili yapıp eren erdem kurt kuş yem ede protestoet,0
oyna yaz değer bil,0
atanamayan değil yüksek puan olan atama yapılmayan sağlıkçı duyu artık,0
parti terörist pkk diyenler ulan ananın öreke mektup oku meclis sok zaman derle adam çoğu kişi göre omurgalı azı herkes terörist siz göre zaten dip not değil,1
şekersiz çay içtik bana öcü bakan kuzen de,0
yine gece birisi konusu adam biri sim bekli ben ben yasal millet girip evlen oturum sok sistem,1
onlar çöp araba presleyin,0
geldik gidebil aşk vazgeçebil,0
bil sen hasta deyi bende veteriner oku karar verdi,1
sayın vekil kafadan bin oy hibe edeli bunlar uza iş bitir artık,0
hayat böyle bir yer sonra kadar karış kalabalık,0
çevre insan ufak hata artık dayanamadık yanım kalan sayı falan,0
hadi sade böyle yoktu,0
falan çocuk gir denetleme normal zaten gerekli olay aşırı saç ver bebe telefon tablet oyun oynat amk ebeveyn,1
ben eski tarih yaz on sene önce yaz yıl ön yaz ön yaz yıl kimse tanış sene dokunaklı bir kadın üç hikaye on ilham gelir,0
şır dış sakatat tüket hatta bun sonra şır dış herhangi bir besin kabul et bir şır oruç adanalı yetkili seslen bayilik ver burada öl,0
sabah günaydın denme sıkıl gerçekten uyandık ben siz günaydın deri zaten iş işte geçmiş olur,0
bir kere din yeter yemin eder kendi parçalamak iste kaldır ben bunlar,1
kullanmadan hayal gör başla galiba,0
güya dünya lider ev fırın buzdolabı al övün ülke yarı cezaevi rakip rehin al mal varlık açıkla öteki rakip çık dünya lider,1
keşke canan karatay soyadı ters zayıfla,0
lens kütük bakmak lazım trabzon doğumlu olabilir şenol hoca tahammül etme başka açıklama olamaz,0
dakika izli de deli dön kız beyinsiz amk,1
yine eski dizi düş bütün gün izli,0
can kuzen suçlu bile ol bana hak ver zor kal yap aynen,0
nefes almak bile fazlasıyla sorun moruk,1
inşallah allah beter gün nasip eder siz kardeş,1
gerçek aşk dede ölüm sonra onsuz ol on özle babaanne kanser hastalık yakalanıp dede yanın gitme,0
azı bir şey katabil sana,0
bil bil,0
gün geç ti şimdiden muhteşem uluma özle,0
herkes yükün sırt al çalış son kendi yer bul kimse yer kalkman sana el uzat,0
değerli takipçi hesap ele geçiril ant ben hesap yönet görün durum araştırıldık ara mesaj gönderilerek bilgilendirilecek ara uygunsuz mesaj gelebil bende olmadık bilme isteri,0
tur oldu aynı lastik gir sonra,0
misafir habersiz gelir rızık kader ölüm allah rızık helal kader güzel ölüm imanlı eyle,0
balkon sızıp kal bek yatak gece,0
yardımcı olmak yer almak torpil kabul secde başka lanet üzeri karaktersizlik yahu,0
dünya kupa sinyal ver artık tartışmasız iki numara,0
ne insanlık dış davranış anlayış ırkçılık hiçbir yer ol hele hentbol ol hentbol,0
siz ali seç zaten ülke türbe,1
tiyatro kendi avut amına koyduk darbe oldu al el ülke anasını sikilsin akp git yeter zihniyet sahip herkes anasını sikeyim hep geçmiş ol,1
kalbı temizlemek isteyen ön vicdan temiz olan kalbı kir tut,0
amerika erdoğan hedef al demek doğru adam erdoğan,1
sana sor gelecek de adam delir delir,0
başka yanlış ders çıkartan hayat gerçekten öğrenen,0
böyle derbi amk sor dünya derbi derle,1
abi uğraş vakit kayıp,0
pavyon gidip kadın tarafından var,0
fatih hoca sosyal medya sıkı bir şekil takip et yapılan yorum kendi yazılan bak özellik duyumculuk yapan dikkat et kimse hoca gazap uğra çevre uğrayan hal ben bile,0
çin arası yıl sürecek yeni bir paylaşım savaş veril sonuç yenil çin küresel gücün ilan eder soğuk savaş süper güç,0
ben görünce simsi,0
rum mezalim anlatan bir zaman kıbrıs nisan türk istemeyen yeni nesil yararlı olacak emin haber gündem türkiye dizi,1
etkinlik haziran cuma yaz bir hata gün dile,0
arkadaş teknik bir hata oldu özür dile başka zaman yap,0
biz memleket biz sorun bir suriyeli terörist dahil olma sen lan sana giren çıkan,1
tarım orman bakanlık personel alım net bir sayı tarih verecek günü bekli genç üzmek iste bile yak zaman müjde verecek inan,0
insanoğlu dünya kanser bun bir net bir şekil göster ben artık kendi fayda olan yanlayıp kendi fayda olmayan yok et çalışan orospu çocuk yorul baş kitle tut balıkçı kadar,1
geçmiş ol anasını,1
baba ben yol boy siyaset hali türkiye kadın yer motive et çıktık sonra aynı konuş gerçi bana uyan de,0
vatan bayrak millet ihanet etmeyen saygı değer hoca ezdir,0
güzel olacak,0
okunuş değil,0
stres şimdi kadar çoktan yok olmuş,0
ersun yanal gelme tam olarak ney bekli,0
yıl tek takım galatasaray kupa,0
kanal sahip kadar çuval dolusu rüşvet dağıt gücün yeter ancak acı siz peşin imiş vay vay vay kimi gaz al başkan vekil,1
azı ben ağız boz siz karakter değil amına koduğumun salak,1
deniz ben sana düşman olacak şimdi söz yürek burk on aşırı zor bir durum kendi kız gördük kişi kendi kızın dolaylı ol ölümüne sebep olma avlu,0
siktirsin git arabistan takım su kuzey temizleyin bunlar paragöz aidiyet duygu olmayan pis arap hırsız,1
takip engel yedi de mi ballı lokma tatlı,0
recep yaptık zam ekrem yap gösterme kaç puan,0
zihniyet şatafat düşkünlük ülke hale getir kamu kurum makam senet sil baştan yapıl millet kaynak kendi mal har vurup harman savuran yazık ol,1
sade soda sigara kadar uyumlu var,0
oysa ben sen yalan sev,0
sinir olup kendi hasta et güzel gün var ön,0
hele de elim sigara kok başla an baba telefon gir ye,0
kız kendi bağladık sonra unutamadık diğer kız paragraf boyun yazı yaz an sevgili iyi kız deyip kapat amk karaktersiz,1
zengin bir asalak öyle bir asalak toplum em sömür fakir çoğu uğrun öldük bilemeden öl,0
haluk abi ara anne selami var sana et soylu,0
geçiş imkan var ben kat oraya,0
efsane olacak olan san ocak sonra gel başkan,0
dün anne de evin tapu bana yap hak,0
aynı şey düşün insan sade kendi düşün vatan özgürlük adalet ortak yaşam kent kültür sivil toplum örgütlenme hak ara değer habersiz büyük hala biat kültür etki kendi saygısızca hükmedilme rahatsız değil,0
rüya giren insan bildirim git,0
hasta yakın doktora muhtaç hasta hasta doktor döv devlet bunlar artık duru de ağır ceza uygula yoksa hasta bak öz güvenli doktor sen bilir hakim bey,1
askerlik yap üniversite başla yaz manisa sıcak ağır iş çalış dershane para biriktir emek verdi derece yap mülakat bütün emek al terim yıllarca verdik çaba alındı durum düzelt,0
bazen kalbı böyle elim al sıkıştır daraldık hisset,0
deli dikkat ses dinli ucuz japon yapıştırıcı kokla güzel kafa yap,0
ad değişiklik idi aşk değil şerefsiz koca bina bir fare terket mutlu olmaz dile sol yan yalnız beklemek ayrılık durak mekan olur umar salı,1
millet kat çık biz ev sahip kat inip dur temel gelince dur umar ev altı kaydır köstebek herif,1
ailecek çekiliş kitap dış ne ekleyebil düşün anneanne patik ör siz yün al gönder popo vur vur,0
yıl sonra gol atan san meclis maalesef gül ağlan hali,0
herkes kandil içten dilek kut hayırlı kandil,0
leğen içinde uyu serin serin oh,0
sırp piç yaz,1
gün ön işe basla dur,0
eski türkiye su yeni türkiye suriyeli,1
olan var olmayan öyle ulu orta göster hırsız gir ev,0
türk polis üniversite bomba patlatmak isteyen insan asmak yüksek yer atmak tehdit ede suriyeli bir köpek karşı pek hazır değil san neyse ben yine hazırlıklı bekle gelip ben alabil ev kendi vatandaş karşı hazır kahraman polis,1
kendi ülke türk olmayan müslüman geçinen çoğu rus asıllı yahudi hristiyan hain hırsız sinsi cani arsız yamyam koru durum düş türk ulus olarak düşün herkes hırsız çaldık kaçırdık teslim et,1
siktir etmek güzel terapi ney siktir bil birileri siktir edin,1
sana ilk kalbı değil mantık bak sen affet sen yok et içim,0
sevdik yavuz çetin şarkı aşırı anlamlı kaliteli bir şarkı,0
on değil fener maç yok keyifsiz,0
sana çirkin de düşman oldu güzel cuma,0
ankara ol git allah giden ses nefes güç vere,0
uyu dua falan yok yarın ders var yoksa,0
bütün duygu bilen hiçbiri hissetmeyen oldu,0
güzel söz bunlar sade yazı oku türkiye gerçek bunlar sene içinde değiş iktidar süre içinde ülke hale mevcut hükumet getir,0
penaltı görmek iste gol atan can cehennem,1
kız şua yaprak sar anne,0
bazen şey zaman geç bazen sade zaman geç,0
özleyip kendi bile itiraf edememek,0
gün kendi müslüman mal böyle yahudi karar verdi,1
bir oğul var şimdi kızım ol deri,0
akşam eskişehir elit bey günü yorgunluk atmak isteyen bey arası görüş,0
of sıçırt bende kal,1
okul yılım tamamen rezillik dolu yemin et,0
geçmiş ol güleç yüzlü acil şifa ver,0
canlı sırala takip ede pazartesi ekli,0
yemin eder zor git kendi bile konuş,0
yap ebru hanım siz atakan yalancı çıkarcı de hep sevil var herkes rahatsız,1
sen sevme yanlış anla,0
kare saçmalı amk sik boylu kaybetme düşün umar,1
telif hak dava aç hayırlı ol,0
yaptık hata anladık işte an dönmek iste,0
görüş büyük saygı duy haklı olabilir kendi müslüman bir insan ibadet başka tavır yüzünden eksik et,0
ban cidden geçecek değil ben on üzül,0
diğer kahkaha at bitmeden yeni at hız,0
siktir pezevek sen bile tak,1
yanlışlık i̇zmit gel olabilir hava kapalı,0
sen ben bir kaçı işte,0
aynen kelime bula allah razı ol,0
bun sonra araba esrar iç zam sigara gel sigara,0
güneş var fakat insan karanlık,0
sen biz anlaşıl az git biz yetim öksüz bırak olur çay ucuz bira mutlu,0
pişman oldu git güzel makine,0
şura video ata video önünden arka olduk bilen var görüp çözüm bilip yardımcı olmayan baş saksı düş hafıza kaybet uyandığında ol,1
engellemek soru hesap askı al fazla kurcala,0
bun namlu besle şarjör kamyon kadar ol,0
güzel şey hemen bit tatil bittik,0
olur ol yap yap sen can al orospu,1
kıbrıslı kadar kolay bir şekil türk halk yapılan görmez gel barış nara ata devlet kafa tut devam eder rum türk düşman keyifli bir şekil siz izli,1
profil bak iki haneli sahip davranış içinde kendi biz bilen bilir,0
dizi emek ver üç beş çapulcu yedir,0
bir hemcins olarak bile böyle düşünen var peki diğer bun okuduk sonra herkes şey biraz utan ah kör olası dilim ne demek iste onlar çek biraz sitem etmek iste yürek nefes yaşadık kimse yaşa dua,0
hey a a şeysi kast bak,0
hangi rum takim imza,1
büte kal şükür dc içim alev yerine dönüştür böyle keşke çan al ben,0
hatay künefe mersin künefe kahramanmaraş dondur rıza hay diyarbakır evlat isteyen mübarek anne in yanında olduk göster mübarek ana,0
sade hoca yet tane futbolcu kelle ali ibret ol,0
hoca hazır dimi bekledik telefon artık sefer gelecek,0
yapılan kadın eş mal sadakat göster,0
inek zaten ben fena anne kes de de,1
ben çikolata mutlu ede herkes sev,0
dört günde iki motosiklet rekor bende başkan,0
şenol hoca tolgay kes kadar aptal olduk anla umar beşiktaş hızlı hücum çıkma sağlayabil tek yetenekli adam tabi bazen hata yap pas yüzde yüz iyi orta bugün oğuzhan yerine ol farklı,1
ters düşünülebil sayılı yasa ol bir adım ileri git yat kalk ata tutar biz asli görev döndürmüş olabilir kabir gir bir insan sorgu allah ait,0
helal ol istersen sen ben gelip zeka alev pezevenklik üstlenebil,1
dizi üç hafta yok herkes bende dahil eski yeni sahne yüklen final olur sade bun yap yeni bölüm fragman coşku eleştiri kaos ay düşünce bile berbat,0
akşam bir görmek ankara yerleşip ölen kadar ankaragücü alkışlayıp oley koduğumun,1
azerbaycan ermen işgal kurtarılan bölge imar devlet bütçe milyar dolar ayırt,1
amına koduğumun ben boğaz kadar dolu ses sikicem sakla alan bildirim yeter lan,1
teşekkür saye hata,0
